Unnamed: 0.1,Unnamed: 0,REF_DATE,GEO,DGUID,Gender,Type of corporation,Country,Industry,Size of enterprise,Executive,UNIT,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
10880,87800,2016,Prince Edward Island,2021A000211,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603536,3.2.1.2.10.1.2.1,0.0,,,,0
12602,104822,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695309,4.1.1.2.1.1.2.1,122.0,,,,0
12644,104864,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693734,4.1.1.2.2.1.2.1,33.0,,,,0
12686,104906,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695084,4.1.1.2.3.1.2.1,3.0,,,,0
12728,104948,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693284,4.1.1.2.4.1.2.1,29.0,,,,0
12770,104990,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694409,4.1.1.2.5.1.2.1,17.0,,,,0
12812,105032,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694634,4.1.1.2.6.1.2.1,4.0,,,,0
12854,105074,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694184,4.1.1.2.7.1.2.1,10.0,,,,0
12896,105116,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694859,4.1.1.2.8.1.2.1,1.0,,,,0
12938,105158,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693959,4.1.1.2.9.1.2.1,19.0,,,,0
12980,105200,2016,Nova Scotia,2021A000212,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693509,4.1.1.2.10.1.2.1,6.0,,,,0
14702,122222,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605309,4.2.1.2.1.1.2.1,204.0,,,,0
14744,122264,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603734,4.2.1.2.2.1.2.1,33.0,,,,0
14786,122306,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605084,4.2.1.2.3.1.2.1,16.0,,,,0
14828,122348,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603284,4.2.1.2.4.1.2.1,46.0,,,,0
14870,122390,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604409,4.2.1.2.5.1.2.1,17.0,,,,0
14912,122432,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604634,4.2.1.2.6.1.2.1,2.0,,,,0
14954,122474,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604184,4.2.1.2.7.1.2.1,51.0,,,,0
14996,122516,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604859,4.2.1.2.8.1.2.1,2.0,,,,0
15038,122558,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603959,4.2.1.2.9.1.2.1,29.0,,,,0
